table,level,rows,distinct_dates,brands,max_date,score
product_l2_01_price_elasticity,L2 product,7401,45,20,2026-09-06,93
product_l2_02_production_blueprint,L2 product,27234,48,18,2026-09-06,91
product_l2_08_brand_health,L2 product,12459,46,22,2026-09-06,94
product_l2_09_revealed_demand,L2 product,27234,48,18,2026-09-06,91
product_l2_10_market_entry,L2 product,18547,48,23,2026-09-06,94
product_l2_12_liquidation_calendar,L2 product,16957,48,22,2026-09-06,94
product_l2_13_wallet_allocator,L2 product,27234,48,18,2026-09-06,91
signal_l1_01_genuine_price_drop,L1 signal,256726,50,21,2026-09-07,99
signal_l1_03_price_staircase,L1 signal,6441,53,6,2026-09-07,89
signal_l1_04_anchor_inflation,L1 signal,376,24,10,2026-08-21,89
signal_l1_06_discount_recovery,L1 signal,2172,55,11,2026-09-06,92
signal_l1_07_price_anomaly,L1 signal,3550,54,18,2026-09-07,97
signal_l1_08_variant_stockout,L1 signal,22940,46,21,2026-09-07,99
signal_l1_09_variant_restock,L1 signal,8701,46,21,2026-09-07,99
signal_l1_10_dead_stock,L1 signal,11002,48,16,2026-09-07,96
signal_l1_11_size_asymmetry,L1 signal,23220,45,19,2026-09-07,98
signal_l1_12_new_sku_launch,L1 signal,28093,100,23,2026-09-07,100
signal_l1_13_product_delisted,L1 signal,14335,88,23,2026-08-24,100
signal_l1_14_launch_to_discount,L1 signal,23208,79,21,2026-09-07,99
signal_l1_17_depth_escalation,L1 signal,96845,53,13,2026-09-07,94
signal_l1_22_discount_velocity,L1 signal,642,58,17,2026-09-07,97
signal_l1_24_restock_density,L1 signal,20309,71,21,2026-09-07,99
signal_l2_clear_rate_by_depth,L2 signal,2128,27,0,2026-09-07,91
signal_l2_discount_honesty,L2 signal,5344,40,19,2026-09-07,98
signal_l2_first_mover,L2 signal,7680,44,21,2026-09-07,99
signal_l2_market_velocity,L2 signal,244,36,0,2026-09-07,100
signal_l2_pricing_discipline,L2 signal,5566,44,19,2026-09-07,98
signal_l2_replenishment_benchmark,L2 signal,694,36,20,2026-09-07,99
signal_l2_share_of_launch,L2 signal,8934,36,23,2026-09-07,100
signal_l2_size_demand_curve,L2 signal,1263,36,0,2026-09-07,100
signal_l2_trained_customer,L2 signal,589,44,17,2026-09-07,97
