table,level,rows,distinct_dates,brands,max_date,score
product_l2_01_price_elasticity,L2 product,9103,52,20,2026-09-13,93
product_l2_02_production_blueprint,L2 product,35656,55,19,2026-09-13,92
product_l2_08_brand_health,L2 product,14622,53,22,2026-09-13,94
product_l2_09_revealed_demand,L2 product,35656,55,19,2026-09-13,92
product_l2_10_market_entry,L2 product,21598,55,23,2026-09-13,94
product_l2_12_liquidation_calendar,L2 product,19717,55,22,2026-09-13,94
product_l2_13_wallet_allocator,L2 product,35656,55,19,2026-09-13,92
signal_l1_01_genuine_price_drop,L1 signal,310990,54,21,2026-09-12,72
signal_l1_03_price_staircase,L1 signal,7198,59,7,2026-09-14,90
signal_l1_04_anchor_inflation,L1 signal,377,25,10,2026-09-09,89
signal_l1_06_discount_recovery,L1 signal,2741,62,11,2026-09-13,92
signal_l1_07_price_anomaly,L1 signal,3636,60,18,2026-09-13,97
signal_l1_08_variant_stockout,L1 signal,25993,52,21,2026-09-14,99
signal_l1_09_variant_restock,L1 signal,9934,52,21,2026-09-14,99
signal_l1_10_dead_stock,L1 signal,13726,54,17,2026-09-13,97
signal_l1_11_size_asymmetry,L1 signal,28998,51,19,2026-09-14,98
signal_l1_12_new_sku_launch,L1 signal,30873,106,23,2026-09-13,100
signal_l1_13_product_delisted,L1 signal,15580,94,23,2026-08-30,100
signal_l1_14_launch_to_discount,L1 signal,19281,85,21,2026-09-13,99
signal_l1_17_depth_escalation,L1 signal,109322,59,15,2026-09-14,95
signal_l1_22_discount_velocity,L1 signal,701,62,18,2026-09-13,97
signal_l1_24_restock_density,L1 signal,22429,77,21,2026-09-13,99
signal_l2_clear_rate_by_depth,L2 signal,2610,33,0,2026-09-14,92
signal_l2_discount_honesty,L2 signal,6411,46,20,2026-09-14,99
signal_l2_first_mover,L2 signal,8973,50,21,2026-09-14,99
signal_l2_market_velocity,L2 signal,304,42,0,2026-09-14,100
signal_l2_pricing_discipline,L2 signal,6609,50,20,2026-09-14,99
signal_l2_replenishment_benchmark,L2 signal,814,42,20,2026-09-14,99
signal_l2_share_of_launch,L2 signal,10272,42,23,2026-09-14,100
signal_l2_size_demand_curve,L2 signal,1479,42,0,2026-09-14,100
signal_l2_trained_customer,L2 signal,696,50,18,2026-09-14,97
