table,level,rows,distinct_dates,brands,max_date,score
product_l2_01_price_elasticity,L2 product,2662,20,20,2026-08-09,87
product_l2_02_production_blueprint,L2 product,5802,20,15,2026-08-09,84
product_l2_08_brand_health,L2 product,4305,18,22,2026-08-09,87
product_l2_09_revealed_demand,L2 product,5802,20,15,2026-08-09,84
product_l2_10_market_entry,L2 product,7074,20,23,2026-08-09,89
product_l2_12_liquidation_calendar,L2 product,6408,20,22,2026-08-09,88
product_l2_13_wallet_allocator,L2 product,5802,20,15,2026-08-09,83
signal_l1_01_genuine_price_drop,L1 signal,83881,26,21,2026-08-09,97
signal_l1_03_price_staircase,L1 signal,1555,27,6,2026-08-09,87
signal_l1_04_anchor_inflation,L1 signal,375,23,10,2026-08-09,88
signal_l1_06_discount_recovery,L1 signal,1008,28,8,2026-08-09,89
signal_l1_07_price_anomaly,L1 signal,665,26,13,2026-08-09,91
signal_l1_08_variant_stockout,L1 signal,9299,20,21,2026-08-09,94
signal_l1_09_variant_restock,L1 signal,3279,20,21,2026-08-09,94
signal_l1_10_dead_stock,L1 signal,3254,20,9,2026-08-09,86
signal_l1_11_size_asymmetry,L1 signal,7205,19,15,2026-08-09,89
signal_l1_12_new_sku_launch,L1 signal,20450,70,23,2026-08-08,85
signal_l1_13_product_delisted,L1 signal,6155,53,20,2026-07-20,98
signal_l1_14_launch_to_discount,L1 signal,15473,50,20,2026-08-09,98
signal_l1_17_depth_escalation,L1 signal,20131,27,11,2026-08-09,91
signal_l1_22_discount_velocity,L1 signal,358,38,14,2026-08-08,79
signal_l1_24_restock_density,L1 signal,12139,42,22,2026-08-09,99
signal_l2_clear_rate_by_depth,L2 signal,49,1,0,2026-08-09,78
signal_l2_discount_honesty,L2 signal,1640,14,14,2026-08-09,86
signal_l2_first_mover,L2 signal,2662,18,17,2026-08-09,90
signal_l2_market_velocity,L2 signal,47,10,0,2026-08-09,90
signal_l2_pricing_discipline,L2 signal,1946,18,14,2026-08-09,88
signal_l2_replenishment_benchmark,L2 signal,184,10,19,2026-08-09,87
signal_l2_share_of_launch,L2 signal,2489,10,23,2026-08-09,90
signal_l2_size_demand_curve,L2 signal,333,10,0,2026-08-09,90
signal_l2_trained_customer,L2 signal,200,18,14,2026-08-09,88
